ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
98,0,0,35,0,-35
99,0,0,99,0,-99
100,1,0,1,0,-1
101,0,0,16,0,-16
102,1,0,69,0,-69
103,1,1,147,1791,1644
104,1,0,187,0,-187
105,1,1,1154,1253,99
106,1,1,775,1502,727
107,0,0,59,0,-59
108,1,1,483,1572,1089
109,1,1,460,1311,851
110,1,1,90,1587,1497
111,1,0,55,0,-55
112,1,1,77,1571,1494
113,1,0,46,0,-46
114,0,0,147,0,-147
115,0,0,10,0,-10
116,0,0,61,0,-61
117,0,0,174,0,-174
118,0,0,76,0,-76
119,0,0,56,0,-56
120,0,0,17,0,-17
121,1,1,135,1417,1282
122,0,0,92,0,-92
123,1,0,75,0,-75
124,0,0,20,0,-20
125,0,0,25,0,-25
126,1,0,8,0,-8
127,1,0,32,0,-32
128,1,1,658,1407,749
129,1,1,318,1752,1434
130,1,0,194,0,-194
131,1,0,3,0,-3
132,0,0,57,0,-57
133,0,0,25,0,-25
134,1,1,195,1333,1138
135,1,0,52,0,-52
136,1,1,46,1414,1368
137,1,1,258,3124,2866
138,1,1,2631,1812,-819
139,0,0,102,0,-102
140,1,1,628,1322,694
141,0,0,78,0,-78
142,0,0,1,0,-1
143,0,0,81,0,-81
144,0,0,5,0,-5
145,1,1,2082,1344,-738
146,0,0,6,0,-6
147,1,0,48,0,-48
148,0,0,2,0,-2
149,0,0,130,0,-130
150,1,0,89,0,-89
151,1,1,550,1391,841
152,0,0,47,0,-47
153,0,0,32,0,-32
154,0,0,10,0,-10
155,0,0,76,0,-76
156,1,1,1000,1237,237
157,1,0,135,0,-135
158,1,1,201,1343,1142
159,0,0,0,0,0
160,1,0,58,0,-58
161,1,0,1,0,-1
162,0,0,14,0,-14
163,0,0,149,0,-149
164,0,0,97,0,-97
165,0,0,49,0,-49
166,1,0,2,0,-2
167,1,1,193,1299,1106
168,0,0,184,0,-184
169,0,0,60,0,-60
170,0,0,73,0,-73
171,1,1,974,2426,1452
172,0,0,28,0,-28
173,0,0,65,0,-65
174,1,1,228,1212,984
175,1,0,6,0,-6
176,0,0,43,0,-43
177,1,0,34,0,-34
178,0,0,31,0,-31
179,1,0,10,0,-10
180,1,1,305,1636,1331
181,1,1,205,1257,1052
182,1,0,6,0,-6
183,0,0,8,0,-8
184,1,0,3,0,-3
185,1,1,458,1984,1526
186,1,0,0,0,0
187,0,0,13,0,-13
188,1,1,101,1812,1711
189,1,1,230,1283,1053
190,0,0,46,0,-46
191,1,1,365,1294,929
192,1,0,75,0,-75
193,1,0,16,0,-16
194,0,0,6,0,-6
195,1,0,66,0,-66
196,1,0,161,0,-161
197,1,0,109,0,-109
198,0,0,6,0,-6
199,1,1,493,2007,1514
200,1,0,7,0,-7
201,0,0,30,0,-30
202,0,0,140,0,-140
203,1,0,67,0,-67
204,1,1,143,1234,1091
205,1,0,24,0,-24
206,1,1,716,1234,518
207,1,1,739,2065,1326
208,0,0,10,0,-10
209,1,1,278,1499,1221
210,1,0,203,0,-203
211,0,0,5,0,-5
212,1,1,1159,1230,71
213,1,1,1649,1587,-62
214,1,0,6,0,-6
215,1,1,30,1940,1910
216,0,0,9,0,-9
217,1,0,88,0,-88
218,0,0,5,0,-5
219,1,1,632,1541,909
220,0,0,29,0,-29
221,1,1,954,2105,1151
222,1,0,22,0,-22
223,1,0,91,0,-91
224,0,0,87,0,-87
225,1,0,81,0,-81
226,1,0,18,0,-18
227,1,1,155,2035,1880
228,1,1,1050,1704,654
229,0,0,96,0,-96
230,1,1,221,1713,1492
231,1,0,16,0,-16
232,0,0,16,0,-16
233,1,1,1535,1554,19
234,0,0,47,0,-47
235,1,1,644,1533,889
236,1,0,39,0,-39
237,1,0,30,0,-30
238,1,1,192,1336,1144
239,1,0,58,0,-58
240,1,0,80,0,-80
241,0,0,1,0,-1
242,1,1,197,1240,1043
243,0,0,113,0,-113
244,1,1,177,1202,1025
245,1,1,403,1271,868
246,0,0,25,0,-25
247,1,1,956,1415,459
248,1,0,0,0,0
249,1,0,14,0,-14
250,1,1,1174,1372,198
251,1,0,39,0,-39
252,1,0,3,0,-3
253,1,1,569,1778,1209
254,0,0,24,0,-24
255,0,0,213,0,-213
256,0,0,15,0,-15
257,0,0,59,0,-59
258,1,0,1,0,-1
259,1,1,747,1411,664
260,0,0,64,0,-64
261,0,0,53,0,-53
262,0,0,2,0,-2
263,0,0,65,0,-65
264,0,0,119,0,-119
265,0,0,3,0,-3
266,1,1,1040,1874,834
267,0,0,15,0,-15
268,1,1,169,1452,1283
269,1,0,45,0,-45
270,1,0,142,0,-142
271,1,0,124,0,-124
272,1,1,1344,1356,12
273,0,0,26,0,-26
274,1,1,764,1774,1010
275,1,1,533,1587,1054
276,1,0,101,0,-101
277,1,0,70,0,-70
278,0,0,33,0,-33
279,0,0,123,0,-123
280,1,0,102,0,-102
281,0,0,91,0,-91
282,1,1,185,1636,1451
283,1,1,117,1253,1136
284,0,0,0,0,0
285,1,0,18,0,-18
286,1,1,465,1330,865
287,1,0,47,0,-47
288,1,1,288,1392,1104
289,1,0,12,0,-12
290,0,0,191,0,-191
291,1,1,108,1650,1542
292,1,0,67,0,-67
293,0,0,4,0,-4
294,1,1,2134,1587,-547
295,0,0,44,0,-44
296,1,1,316,1627,1311
297,1,1,148,1234,1086
298,1,0,20,0,-20
299,1,1,158,1554,1396
300,0,0,35,0,-35
301,0,0,22,0,-22
302,1,1,135,1237,1102
303,1,0,3,0,-3
304,0,0,112,0,-112
305,1,0,19,0,-19
306,1,1,532,1750,1218
307,0,0,28,0,-28
308,0,0,23,0,-23
309,1,1,463,1643,1180
310,0,0,83,0,-83
311,1,1,86,2552,2466
312,1,0,117,0,-117
313,0,0,345,0,-345
314,1,0,44,0,-44
315,1,1,254,1625,1371
316,1,1,222,1952,1730
317,1,0,25,0,-25
318,0,0,36,0,-36
319,0,0,8,0,-8
320,1,0,52,0,-52
321,1,0,7,0,-7
322,0,0,62,0,-62
323,0,0,40,0,-40
324,1,1,379,1539,1160
325,1,0,42,0,-42
326,1,0,2,0,-2
327,1,0,34,0,-34
328,0,0,4,0,-4
329,1,0,60,0,-60
330,1,1,35,1360,1325
331,1,0,29,0,-29
332,1,1,84,1226,1142
333,1,1,1373,1237,-136
334,0,0,57,0,-57
335,0,0,70,0,-70
336,1,0,138,0,-138
337,1,1,456,1556,1100
338,0,0,10,0,-10
339,1,0,51,0,-51
340,1,1,264,1328,1064
341,0,0,5,0,-5
342,0,0,3,0,-3
343,0,0,48,0,-48
344,0,0,81,0,-81
345,1,1,951,1414,463
346,1,1,436,1264,828
347,1,1,394,1306,912
348,1,1,883,1295,412
349,1,0,47,0,-47
350,1,0,10,0,-10
351,0,0,21,0,-21
352,0,0,23,0,-23
353,0,0,56,0,-56
354,1,0,14,0,-14
355,1,1,775,1741,966
356,1,0,58,0,-58
357,1,1,181,2103,1922
358,0,0,23,0,-23
359,1,0,26,0,-26
360,0,0,26,0,-26
361,1,1,70,1203,1133
362,1,1,400,2658,2258
363,1,0,32,0,-32
364,1,0,109,0,-109
365,0,0,10,0,-10
366,1,0,45,0,-45
367,1,0,20,0,-20
368,1,0,55,0,-55
369,1,1,74,1568,1494
370,1,0,26,0,-26
371,1,0,11,0,-11
372,0,0,32,0,-32
373,1,1,309,2005,1696
374,0,0,12,0,-12
375,0,0,51,0,-51
376,1,1,107,1210,1103
377,1,1,87,1540,1453
378,0,0,40,0,-40
379,0,0,293,0,-293
380,0,0,7,0,-7
381,0,0,78,0,-78
382,0,0,8,0,-8
383,1,0,65,0,-65
384,0,0,48,0,-48
385,1,0,74,0,-74
386,0,0,17,0,-17
387,1,0,32,0,-32
388,1,0,20,0,-20
389,0,0,8,0,-8
390,0,0,57,0,-57
391,0,0,0,0,0
392,0,0,61,0,-61
393,0,0,11,0,-11
394,0,0,101,0,-101
395,1,1,8,1519,1511
396,1,1,461,1253,792
397,0,0,47,0,-47
398,1,1,277,1631,1354
399,0,0,11,0,-11
400,1,0,48,0,-48
401,1,0,88,0,-88
402,0,0,33,0,-33
403,1,0,20,0,-20
404,1,1,524,1250,726
405,1,0,20,0,-20
406,1,1,2708,1709,-999
407,0,0,175,0,-175
408,1,0,43,0,-43
409,1,0,59,0,-59
410,1,0,16,0,-16
411,0,0,26,0,-26
412,0,0,48,0,-48
413,1,1,59,1204,1145
414,0,0,29,0,-29
415,0,0,1,0,-1
416,0,0,197,0,-197
417,1,1,351,1200,849
418,1,1,139,1696,1557
419,1,0,46,0,-46
420,0,0,79,0,-79
421,0,0,59,0,-59
422,0,0,7,0,-7
423,0,0,7,0,-7
424,0,0,89,0,-89
425,1,0,31,0,-31
426,1,0,125,0,-125
427,1,0,6,0,-6
428,0,0,78,0,-78
429,1,1,219,1568,1349
430,1,1,1242,2400,1158
431,1,0,52,0,-52
432,1,1,157,1333,1176
433,0,0,23,0,-23
434,1,0,34,0,-34
435,1,1,589,1405,816
436,1,1,293,1214,921
437,1,0,61,0,-61
438,1,1,377,1429,1052
439,1,0,28,0,-28
440,1,1,272,1312,1040
441,1,0,27,0,-27
442,1,0,10,0,-10
443,1,0,28,0,-28
444,1,0,5,0,-5
445,1,0,0,0,0
446,0,0,6,0,-6
447,1,1,208,1434,1226
448,0,0,10,0,-10
449,0,0,8,0,-8
450,0,0,48,0,-48
451,0,0,33,0,-33
452,1,1,363,1321,958
453,0,0,5,0,-5
454,1,0,2,0,-2
455,0,0,52,0,-52
456,0,0,76,0,-76
457,0,0,33,0,-33
458,0,0,3,0,-3
459,1,1,1255,1454,199
460,1,1,1463,2366,903
461,1,1,80,1460,1380
462,1,0,21,0,-21
463,1,1,492,1213,721
464,0,0,20,0,-20
465,1,0,5,0,-5
466,1,1,341,1902,1561
467,1,0,10,0,-10
468,1,0,29,0,-29
469,1,0,4,0,-4
470,1,1,684,1497,813
471,0,0,43,0,-43
472,0,0,104,0,-104
473,1,1,167,2120,1953
474,0,0,7,0,-7
475,1,0,67,0,-67
476,1,1,226,1624,1398
477,0,0,75,0,-75
478,1,1,355,1484,1129
479,1,0,40,0,-40
480,1,0,6,0,-6
481,1,1,62,2696,2634
482,0,0,4,0,-4
483,1,0,59,0,-59
484,0,0,9,0,-9
485,0,0,81,0,-81
486,0,0,22,0,-22
487,1,0,23,0,-23
488,0,0,123,0,-123
489,0,0,5,0,-5
490,1,0,102,0,-102
491,1,1,982,1686,704
492,1,0,0,0,0
493,1,0,56,0,-56
494,0,0,169,0,-169
495,1,0,0,0,0
496,1,1,1661,1660,-1
497,1,1,542,2102,1560
498,1,1,306,2561,2255
499,0,0,68,0,-68
500,1,0,114,0,-114
501,0,0,14,0,-14
502,0,0,14,0,-14
503,1,1,302,1561,1259
504,0,0,54,0,-54
505,0,0,51,0,-51
506,0,0,37,0,-37
507,1,1,528,1785,1257
508,1,1,224,1615,1391
509,1,1,593,1754,1161
510,1,1,350,2205,1855
511,1,0,43,0,-43
512,0,0,125,0,-125
513,1,0,93,0,-93
514,1,1,202,1346,1144
515,0,0,94,0,-94
516,1,0,11,0,-11
517,1,0,12,0,-12
518,1,1,342,2830,2488
519,1,1,763,1207,444
520,0,0,12,0,-12
521,0,0,5,0,-5
522,1,0,0,0,0
523,0,0,38,0,-38
524,0,0,9,0,-9
525,1,1,360,1274,914
526,0,0,35,0,-35
527,0,0,16,0,-16
528,0,0,50,0,-50
529,1,0,25,0,-25
530,1,1,197,1277,1080
531,0,0,76,0,-76
532,1,0,28,0,-28
533,0,0,9,0,-9
534,1,0,4,0,-4
535,1,1,543,2663,2120
536,0,0,17,0,-17
537,0,0,118,0,-118
538,1,0,21,0,-21
539,1,0,106,0,-106
540,0,0,38,0,-38
541,1,1,977,1651,674
542,0,0,46,0,-46
543,1,0,113,0,-113
544,1,0,119,0,-119
545,0,0,136,0,-136
546,0,0,89,0,-89
547,1,0,15,0,-15
548,1,1,724,1382,658
549,1,0,40,0,-40
550,1,1,307,2034,1727
551,1,0,22,0,-22
552,1,0,172,0,-172
553,1,1,101,1674,1573
554,1,1,332,1492,1160
555,1,1,449,1414,965
556,0,0,97,0,-97
557,0,0,16,0,-16
558,1,0,16,0,-16
559,1,0,7,0,-7
560,1,1,345,1290,945
561,0,0,35,0,-35
562,1,0,19,0,-19
563,1,1,394,1328,934
564,0,0,67,0,-67
565,0,0,6,0,-6
566,1,0,112,0,-112
567,1,0,14,0,-14
568,0,0,38,0,-38
569,1,1,976,1212,236
570,0,0,116,0,-116
571,1,0,3,0,-3
572,0,0,31,0,-31
573,1,1,1747,1553,-194
574,0,0,9,0,-9
575,1,1,1010,1418,408
576,1,1,999,1237,238
577,1,1,318,1354,1036
578,0,0,42,0,-42
579,1,1,1144,1725,581
580,1,1,748,1577,829
581,1,1,27,1277,1250
582,1,1,69,2031,1962
583,1,1,403,1384,981
584,0,0,24,0,-24
585,1,1,689,1259,570
586,1,1,382,1333,951
587,1,0,43,0,-43
588,0,0,38,0,-38
589,0,0,1,0,-1
590,1,1,232,1877,1645
591,1,1,178,1266,1088
592,0,0,15,0,-15
593,0,0,22,0,-22
594,0,0,28,0,-28
595,0,0,3,0,-3
596,0,0,139,0,-139
597,1,0,1,0,-1
598,1,0,37,0,-37
599,0,0,64,0,-64
600,1,0,30,0,-30
601,0,0,5,0,-5
602,0,0,23,0,-23
603,0,0,35,0,-35
604,1,1,521,1231,710
605,0,0,47,0,-47
606,1,0,63,0,-63
607,1,1,720,1208,488
608,1,0,16,0,-16
609,1,1,904,2375,1471
610,1,1,307,1644,1337
611,1,1,572,1414,842
612,0,0,13,0,-13
613,1,1,353,1432,1079
614,1,1,384,2707,2323
615,1,1,64,1823,1759
616,1,1,976,1367,391
617,1,1,244,1589,1345
618,1,1,83,1542,1459
619,1,1,362,1345,983
620,0,0,8,0,-8
621,1,0,43,0,-43
622,1,1,1075,1853,778
623,1,0,32,0,-32
624,1,1,998,1465,467
625,1,0,37,0,-37
626,1,0,26,0,-26
627,1,0,12,0,-12
628,1,0,34,0,-34
629,0,0,146,0,-146
630,1,0,52,0,-52
631,0,0,27,0,-27
632,0,0,90,0,-90
633,1,0,158,0,-158
634,0,0,192,0,-192
635,0,0,25,0,-25
636,0,0,28,0,-28
637,0,0,2,0,-2
638,1,0,28,0,-28
639,1,0,117,0,-117
640,1,1,148,1265,1117
641,1,0,132,0,-132
642,0,0,96,0,-96
643,0,0,31,0,-31
644,1,1,299,2202,1903
645,1,1,452,1281,829
646,0,0,27,0,-27
647,0,0,195,0,-195
648,1,0,61,0,-61
649,1,0,9,0,-9
650,0,0,107,0,-107
651,0,0,75,0,-75
652,0,0,54,0,-54
653,1,0,17,0,-17
654,0,0,35,0,-35
655,1,1,480,1292,812
656,1,0,158,0,-158
657,1,1,498,1210,712
658,1,0,87,0,-87
659,0,0,42,0,-42
660,0,0,35,0,-35
661,0,0,5,0,-5
662,0,0,25,0,-25
663,0,0,78,0,-78
664,1,0,6,0,-6
665,0,0,4,0,-4
666,0,0,9,0,-9
667,1,0,132,0,-132
668,1,1,255,1593,1338
669,1,1,174,1561,1387
670,1,1,203,3135,2932
671,0,0,3,0,-3
672,0,0,101,0,-101
673,1,0,45,0,-45
674,1,0,27,0,-27
675,1,1,183,1330,1147
676,1,0,13,0,-13
677,0,0,130,0,-130
678,0,0,25,0,-25
679,0,0,20,0,-20
680,1,1,642,1495,853
681,1,1,582,1618,1036
682,0,0,8,0,-8
683,1,0,1,0,-1
684,1,1,107,1309,1202
685,0,0,12,0,-12
686,0,0,165,0,-165
687,0,0,10,0,-10
688,0,0,9,0,-9
689,1,0,285,0,-285
690,1,1,116,6240,6124
691,1,1,383,1563,1180
692,1,0,14,0,-14
693,1,1,1400,1319,-81
694,1,0,0,0,0
695,0,0,131,0,-131
696,0,0,144,0,-144
697,0,0,87,0,-87
698,1,0,9,0,-9
699,0,0,6,0,-6
700,1,1,255,1404,1149
701,1,1,749,1458,709
702,0,0,23,0,-23
703,0,0,60,0,-60
704,0,0,1,0,-1
705,1,0,43,0,-43
706,1,1,99,1313,1214
707,0,0,40,0,-40
708,1,0,9,0,-9
709,0,0,58,0,-58
710,0,0,61,0,-61
711,1,1,298,1227,929
712,1,1,626,1883,1257
713,0,0,104,0,-104
714,1,1,324,1226,902
715,0,0,179,0,-179
716,0,0,24,0,-24
717,1,0,0,0,0
718,1,1,270,1223,953
719,0,0,18,0,-18
720,1,1,411,2418,2007
721,1,1,463,1225,762
722,1,0,134,0,-134
723,1,0,43,0,-43
724,0,0,65,0,-65
725,1,1,109,1256,1147
726,0,0,16,0,-16
727,0,0,125,0,-125
728,1,1,231,1658,1427
729,0,0,22,0,-22
730,1,0,21,0,-21
731,1,1,174,1440,1266
732,1,0,5,0,-5
733,0,0,118,0,-118
734,0,0,64,0,-64
735,1,1,131,1300,1169
736,1,0,79,0,-79
737,1,1,128,1673,1545
738,0,0,17,0,-17
739,1,0,5,0,-5
740,0,0,22,0,-22
741,1,0,1,0,-1
742,0,0,85,0,-85
743,1,1,268,1351,1083
744,0,0,0,0,0
745,1,0,43,0,-43
746,1,0,87,0,-87
747,1,1,267,1272,1005
748,1,0,28,0,-28
749,0,0,15,0,-15
750,1,1,1515,1521,6
751,1,1,243,1230,987
752,0,0,4,0,-4
753,0,0,70,0,-70
754,1,1,148,1496,1348
755,1,0,17,0,-17
756,0,0,26,0,-26
757,0,0,12,0,-12
758,1,1,536,1700,1164
759,1,0,27,0,-27
760,0,0,14,0,-14
761,0,0,21,0,-21
762,0,0,263,0,-263
763,1,0,56,0,-56
764,0,0,82,0,-82
765,0,0,31,0,-31
766,0,0,50,0,-50
767,0,0,26,0,-26
768,1,1,773,1649,876
769,1,1,1025,1200,175
770,1,0,12,0,-12
771,1,1,364,1514,1150
772,1,0,43,0,-43
773,0,0,40,0,-40
774,1,0,82,0,-82
775,0,0,7,0,-7
776,0,0,20,0,-20
777,1,1,470,1341,871
778,0,0,71,0,-71
779,1,1,1518,1636,118
780,1,0,1,0,-1
781,0,0,61,0,-61
782,1,0,42,0,-42
783,0,0,9,0,-9
784,0,0,55,0,-55
785,1,0,172,0,-172
786,1,0,96,0,-96
787,1,1,265,2050,1785
788,1,0,4,0,-4
789,1,1,875,2312,1437
790,1,0,30,0,-30
791,0,0,76,0,-76
792,1,0,38,0,-38
793,0,0,23,0,-23
794,1,1,417,1214,797
795,1,1,1067,1585,518
796,1,0,29,0,-29
797,1,1,299,1440,1141
798,1,0,4,0,-4
799,1,1,376,1693,1317
800,1,0,63,0,-63
801,0,0,0,0,0
802,0,0,55,0,-55
803,0,0,0,0,0
804,0,0,49,0,-49
805,1,1,57,1469,1412
806,1,1,342,1229,887
807,0,0,154,0,-154
808,0,0,60,0,-60
809,1,0,18,0,-18
810,1,0,1,0,-1
811,0,0,80,0,-80
812,1,0,5,0,-5
813,1,0,63,0,-63
814,0,0,4,0,-4
815,1,0,6,0,-6
816,1,0,27,0,-27
817,1,0,6,0,-6
818,1,1,1258,2381,1123
819,0,0,80,0,-80
820,0,0,9,0,-9
821,0,0,70,0,-70
822,1,1,230,1799,1569
823,1,1,948,1261,313
824,0,0,37,0,-37
825,0,0,15,0,-15
826,1,1,1595,1648,53
827,0,0,10,0,-10
828,0,0,23,0,-23
829,1,0,34,0,-34
830,1,0,54,0,-54
831,0,0,104,0,-104
832,0,0,4,0,-4
833,1,1,658,1276,618
834,1,1,1797,1462,-335
835,0,0,40,0,-40
836,1,0,3,0,-3
837,0,0,46,0,-46
838,1,1,1153,1525,372
839,0,0,32,0,-32
840,0,0,20,0,-20
841,1,1,522,1283,761
842,1,0,14,0,-14
843,0,0,19,0,-19
844,1,1,733,1505,772
845,1,1,278,1597,1319
846,0,0,12,0,-12
847,0,0,10,0,-10
848,1,1,230,2510,2280
849,0,0,96,0,-96
850,1,1,69,1273,1204
851,1,0,9,0,-9
852,1,0,46,0,-46
853,0,0,64,0,-64
854,1,1,569,1365,796
855,1,1,437,1698,1261
856,0,0,124,0,-124
857,0,0,21,0,-21
858,1,0,63,0,-63
859,1,0,33,0,-33
860,0,0,107,0,-107
861,1,1,432,1985,1553
862,1,1,230,2715,2485
863,1,0,21,0,-21
864,0,0,23,0,-23
865,0,0,29,0,-29
866,0,0,3,0,-3
867,1,1,1162,1224,62
868,1,0,298,0,-298
869,0,0,22,0,-22
870,0,0,14,0,-14
871,1,0,142,0,-142
872,0,0,87,0,-87
873,1,1,489,1391,902
874,1,1,910,1421,511
875,0,0,33,0,-33
876,0,0,7,0,-7
877,1,0,118,0,-118
878,0,0,12,0,-12
879,0,0,106,0,-106
880,0,0,14,0,-14
881,1,0,95,0,-95
882,1,0,20,0,-20
883,1,1,455,1367,912
884,0,0,29,0,-29
885,0,0,11,0,-11
886,0,0,1,0,-1
887,1,0,10,0,-10
888,1,1,238,1209,971
889,1,0,5,0,-5
890,1,0,68,0,-68
891,1,0,12,0,-12
892,0,0,37,0,-37
893,0,0,10,0,-10
894,1,0,217,0,-217
895,1,0,48,0,-48
896,1,0,54,0,-54
897,1,1,51,2426,2375
898,0,0,4,0,-4
899,0,0,44,0,-44
900,1,1,656,1593,937
901,1,1,125,3470,3345
902,1,1,430,1238,808
903,0,0,51,0,-51
904,1,1,445,1729,1284
905,1,1,117,1590,1473
906,1,0,62,0,-62
907,1,1,298,1292,994
908,1,0,14,0,-14
909,1,0,48,0,-48
910,1,1,408,1277,869
911,0,0,77,0,-77
912,1,1,46,1683,1637
913,0,0,19,0,-19
914,1,0,48,0,-48
915,0,0,35,0,-35
916,1,1,881,1245,364
917,1,1,725,2394,1669
918,1,0,95,0,-95
919,1,0,18,0,-18
920,0,0,84,0,-84
921,1,1,615,2024,1409
922,1,0,153,0,-153
923,0,0,37,0,-37
924,1,0,65,0,-65
925,0,0,9,0,-9
926,1,1,1280,1213,-67
927,1,0,227,0,-227
928,1,0,15,0,-15
929,1,0,75,0,-75
930,0,0,40,0,-40
931,1,1,200,1260,1060
932,1,1,1289,1319,30
933,1,1,669,1327,658
934,0,0,81,0,-81
935,1,0,37,0,-37
936,1,1,921,1304,383
937,1,0,52,0,-52
938,1,1,120,1639,1519
939,1,0,18,0,-18
940,1,0,47,0,-47
941,1,0,30,0,-30
942,1,1,413,1321,908
943,0,0,91,0,-91
944,1,1,351,1653,1302
945,0,0,0,0,0
946,1,1,895,1531,636
947,1,0,17,0,-17
948,1,0,0,0,0
949,0,0,8,0,-8
950,0,0,24,0,-24
951,1,0,155,0,-155
952,1,0,45,0,-45
953,1,0,7,0,-7
954,1,0,39,0,-39
955,1,0,4,0,-4
956,1,1,726,1312,586
957,0,0,34,0,-34
958,0,0,2,0,-2
959,0,0,52,0,-52
960,1,0,6,0,-6
961,0,0,21,0,-21
962,0,0,77,0,-77
963,0,0,78,0,-78
964,1,0,82,0,-82
965,0,0,1,0,-1
966,1,0,46,0,-46
967,1,0,37,0,-37
968,0,0,75,0,-75
969,1,1,105,2649,2544
970,0,0,7,0,-7
971,1,1,353,1378,1025
972,1,1,191,1502,1311
973,1,1,1475,1266,-209
974,1,0,31,0,-31
975,1,1,170,1327,1157
976,1,1,292,1982,1690
977,1,0,19,0,-19
978,1,0,15,0,-15
979,1,0,33,0,-33
980,1,1,1542,1316,-226
981,0,0,17,0,-17
982,0,0,37,0,-37
983,1,0,35,0,-35
984,0,0,46,0,-46
985,0,0,41,0,-41
986,1,1,404,1636,1232
987,0,0,30,0,-30
988,0,0,65,0,-65
989,1,1,963,2337,1374
990,1,1,1513,1247,-266
991,0,0,50,0,-50
992,1,0,13,0,-13
993,1,0,7,0,-7
994,1,1,120,1848,1728
995,1,0,76,0,-76
996,1,0,26,0,-26
997,1,1,112,1300,1188
998,0,0,11,0,-11
999,1,1,412,1363,951
1000,1,1,558,1250,692
1001,1,0,2,0,-2
1002,1,0,20,0,-20
1003,1,1,935,2000,1065
1004,1,1,841,1310,469
1005,0,0,37,0,-37
1006,1,1,370,1331,961
1007,1,0,2,0,-2
1008,0,0,79,0,-79
1009,1,1,1423,1397,-26
1010,1,1,378,2842,2464
1011,0,0,26,0,-26
1012,0,0,80,0,-80
1013,0,0,12,0,-12
1014,1,1,709,1629,920
1015,1,0,31,0,-31
1016,1,0,120,0,-120
1017,0,0,89,0,-89
1018,1,0,51,0,-51
1019,0,0,18,0,-18
1020,0,0,6,0,-6
1021,0,0,0,0,0
1022,0,0,51,0,-51
1023,1,1,239,1469,1230
1024,0,0,24,0,-24
1025,0,0,24,0,-24
1026,0,0,28,0,-28
1027,1,1,601,1418,817
1028,0,0,6,0,-6
1029,1,1,960,1336,376
1030,1,1,311,1334,1023
1031,1,0,137,0,-137
1032,1,0,17,0,-17
1033,1,0,33,0,-33
1034,0,0,12,0,-12
1035,1,0,17,0,-17
1036,0,0,107,0,-107
1037,1,1,592,1251,659
1038,1,1,323,1365,1042
1039,1,0,59,0,-59
1040,1,1,84,1217,1133
1041,1,0,145,0,-145
1042,1,0,48,0,-48
1043,1,1,132,2255,2123
1044,1,1,135,1706,1571
1045,1,1,1809,1253,-556
1046,0,0,20,0,-20
1047,1,0,112,0,-112
1048,1,1,379,1547,1168
1049,1,0,11,0,-11
