ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
44,32,66613.21904400337,0.0952270181628726,0,50,0,0,-50
45,37,24320.858272123412,0.06813493129536244,1,303,5554,2551,7802
46,73,20660.760431746538,0.08982886718833226,1,148,10478,2709,13039
47,28,30793.504069910632,0.09413684120641275,1,763,8453,1395,9085
48,19,30417.54924053767,0.04617120780830713,1,321,7010,2020,8709
49,26,24654.198857749478,0.2557576839198647,1,604,17089,6157,22642
50,37,20525.552172981985,0.1611085452902065,0,195,0,0,-195
51,64,22709.111428901957,0.06732066207430666,1,156,13808,1735,15387
52,32,31996.62824194188,0.15623916214169267,1,144,6558,1478,7892
53,55,50005.24637786281,0.024927913786969833,1,623,5319,2504,7200
54,46,22847.701300718494,0.1406608714871597,0,10,0,0,-10
55,35,28950.06307692922,0.2507838624886404,1,161,9968,1439,11246
56,41,23465.20149651902,0.33280637091485404,0,34,0,0,-34
57,29,46359.736609829946,0.09286320883528008,1,1148,6042,2515,7409
58,46,25233.123701775963,0.002512511275011334,1,260,25729,1506,26975
59,23,22190.479995700087,0.16452962989351802,1,204,7592,1419,8807
60,21,58804.333640129844,0.06230497515261834,1,367,5752,3494,8879
61,55,22347.910798939833,0.13957779965805633,0,18,0,0,-18
62,66,34125.94582614978,0.056156495265820165,0,133,0,0,-133
63,43,30007.03238759279,0.15014252995453964,0,105,0,0,-105
64,19,32177.695791260787,0.010373695539022067,1,598,9190,2693,11285
65,59,53309.98628140246,0.03668495992097161,0,72,0,0,-72
66,30,24458.82194228374,0.025193712423168806,1,612,7704,1770,8862
67,32,29563.295786114024,0.05043771273268509,1,235,6028,1526,7319
68,37,24548.407554666763,0.06820903325898703,1,990,5631,3305,7946
69,32,23286.490956085712,0.09460353840325432,1,69,11376,1574,12881
70,54,25269.322944036227,0.09612333978767611,1,324,12306,4549,16531
71,44,42712.38551335417,0.03241796530861786,1,84,5552,1573,7041
72,40,30622.94106016587,0.07083776694166825,1,75,7966,1778,9669
73,37,29310.21918342783,0.069130693787967,1,461,6388,1494,7421
74,56,25355.86937139275,0.10811058747074416,1,553,6352,1386,7185
75,44,55994.45790131742,0.21137927484246183,1,1087,8819,1419,9151
76,37,27134.415599164786,0.07089161216964437,1,562,15571,3061,18070
77,21,23421.514521535708,0.012787444557391375,1,949,5556,1785,6392
78,42,21768.537733358407,0.10379882780040527,1,52,6956,2812,9716
79,58,24065.88166863437,0.07556847717935031,1,83,23842,1535,25294
80,30,48687.92183126331,0.021095531366368117,1,624,8774,2163,10313
81,28,34653.0641797553,0.03980237709608386,0,58,0,0,-58
82,50,34969.58149424626,0.2211633631154541,1,668,7856,6276,13464
83,58,25567.90515448466,0.08042677199325397,1,1128,7885,1369,8126
84,40,23541.94312908504,0.0021521467883206004,0,0,0,0,0
85,69,29097.28996916647,0.05005104859883126,1,921,28082,1864,29025
86,27,25410.931916451875,0.046311392091305636,0,25,0,0,-25
87,70,21195.850610024136,0.06928158862652477,1,93,5463,1450,6820
88,23,20269.57391152846,0.14732376193215696,0,88,0,0,-88
89,58,32667.099709589493,0.18127524570181944,1,709,8762,1346,9399
90,39,27358.71613525774,0.009272238843906384,1,49,9605,1452,11008
91,57,21017.99409396067,0.5158928804913007,0,22,0,0,-22
92,67,23017.21702184194,0.08522748467200054,1,118,16133,1690,17705
93,21,29126.522519342136,0.00047735554404079153,1,277,6168,1913,7804
94,48,23063.75196822491,0.07475020074968643,1,159,6832,1558,8231
95,63,21454.62412994452,0.22709591870766951,1,496,7381,1684,8569
96,27,44552.40824868952,0.056230673947823155,1,511,12833,1689,14011
97,60,24919.44919241381,0.019000445345108655,1,82,5989,3185,9092
98,19,23643.739813151795,0.12367614229898875,1,415,17104,2558,19247
99,35,20334.299845244877,0.15216859816122402,0,21,0,0,-21
100,28,21705.656096718914,0.1736609517592399,1,1003,8126,1467,8590
101,39,23128.172801751927,0.13458634109008455,1,442,5515,1658,6731
102,72,23143.19133224956,0.1938896082565381,0,3,0,0,-3
103,47,20329.270696110998,0.11245833093066938,1,2108,8941,1804,8637
104,25,29175.401273440515,0.02098711310439834,1,87,21692,2621,24226
105,24,25374.560374610097,0.007993314354610865,1,307,10571,2133,12397
106,50,25484.519407846903,0.21812822041280744,0,123,0,0,-123
107,23,25183.32710328743,0.035730499580012745,0,11,0,0,-11
108,45,25698.288806345205,0.10859432413850632,1,174,5493,4341,9660
109,25,66857.24617646003,0.30331536367259826,0,73,0,0,-73
110,18,21267.442042950093,0.031518021731741314,1,658,13877,2387,15606
111,25,38710.05811063695,0.24768647739702254,1,253,10288,1386,11421
112,25,20728.73278972024,0.12824491024138981,1,438,7088,1554,8204
113,68,23622.805502311476,0.06814825741014029,1,392,23894,1666,25168
114,55,22256.867735247248,0.027653498759131808,1,206,6576,1374,7744
115,25,22447.035090387017,0.0625525624559566,1,235,6979,1644,8388
116,20,42016.80650258318,0.15012839966753674,1,356,12990,1383,14017
117,31,27093.7415566492,0.2007491060525611,1,223,13944,1472,15193
118,71,21599.233864864087,0.2554829060126993,1,596,5741,1348,6493
119,49,24088.657637960663,0.1428977704878074,1,384,7430,1468,8514
120,30,26895.938982515236,0.028558348175450263,1,249,17505,1465,18721
121,56,21118.50073262142,0.030911943963339537,1,310,5764,2936,8390
122,21,21820.066124817877,0.01702419932905224,1,524,5830,1451,6757
123,21,41017.734266422056,0.21674642674824657,0,67,0,0,-67
124,69,23397.329210446063,0.2649333947555855,1,1555,23933,1462,23840
125,42,35995.60427029529,0.10656569390579951,1,277,10468,2312,12503
126,36,38377.5417904337,0.2664442526285614,0,33,0,0,-33
127,21,22113.06094100761,0.15784962251078388,1,131,12361,1787,14017
128,23,51376.63003373352,0.028357048084527856,1,213,5561,1423,6771
129,28,25197.52949205963,0.03217851122252187,1,651,6304,2025,7678
130,30,25081.48423924089,0.012015148002729814,1,497,6525,2243,8271
131,58,37306.630161971945,0.1545735661765815,1,91,19549,1508,20966
132,56,28245.31143418632,0.05393086387659577,1,415,12671,1385,13641
133,24,48952.924704224766,0.15560488093953412,1,463,16949,1369,17855
134,68,29565.264316344303,0.008728686720847931,1,669,6335,2652,8318
135,37,27640.413566392617,0.18062082637378574,1,472,7509,1415,8452
136,36,37787.095247986705,0.163451906323417,1,932,6072,1362,6502
137,22,23533.92855884483,0.02382383099351714,1,2580,10033,1908,9361
138,21,20855.301721106465,0.09604099131908381,1,344,5653,1669,6978
139,69,27242.788867684565,0.04295345195169176,1,170,7808,2232,9870
140,46,25700.13928512611,0.1332164299091973,1,936,9580,1841,10485
141,36,35360.344951670784,0.10850216719096412,1,1527,6481,1837,6791
142,40,39744.15053193658,0.09259431157505359,1,463,27399,3184,30120
143,48,36551.88326976786,0.18805879932752492,1,430,8617,1432,9619
144,36,37132.39637096222,0.09937057657164976,1,874,6099,1706,6931
145,64,32682.30634808058,0.2389347018293778,0,32,0,0,-32
146,30,23704.33976861019,0.05155964937258547,1,2998,6569,1674,5245
147,65,27584.19252964962,0.3202454305035284,0,29,0,0,-29
148,36,22812.069522039557,0.078075435342565,1,631,6055,2272,7696
149,27,20912.831279269834,0.36148946685260175,0,29,0,0,-29
150,27,40042.4623105298,0.028699158917477915,0,100,0,0,-100
151,25,26652.156347487908,0.09432358139821218,1,401,7985,1339,8923
152,36,20385.97606753528,0.3599132084051583,1,1531,6651,2646,7766
153,40,21021.428912025134,0.038974296891043876,1,889,7713,2589,9413
154,21,21244.274674768127,0.014174262261756453,0,78,0,0,-78
155,27,20628.75214051009,0.005954015338170087,1,470,9584,1432,10546
156,26,32960.124155772195,0.2353375666105416,0,25,0,0,-25
157,48,20313.348250968967,0.07705238009886159,1,758,5695,4518,9455
158,49,23459.694930290392,0.10359925189766768,1,19,5944,1658,7583
159,28,30981.020454283862,0.32914036123163853,1,505,13617,1397,14509
160,55,34460.34124575478,0.015947513645019132,1,825,13646,1421,14242
161,66,32504.70817565859,0.13242118504576245,1,480,26770,2024,28314
162,35,22356.610990145204,0.12292057752869244,0,1,0,0,-1
163,62,22801.431226936147,0.19583777690238904,1,170,9590,2081,11501
164,27,26979.450396987064,0.19078141653383487,1,1158,5720,1424,5986
165,32,56913.545850739916,0.007906720565028837,0,37,0,0,-37
166,34,39519.529581335184,0.12467884266659263,1,150,12498,1780,14128
167,45,20070.812953047018,0.3701036813445506,0,3,0,0,-3
168,64,21890.09368314089,0.032534181189286644,1,867,7917,2952,10002
169,69,30384.742107771795,0.09402610284495166,1,906,5701,2905,7700
170,38,23543.311422400555,0.14842293398323214,1,251,5472,1472,6693
171,18,28317.10340074975,0.011130305549858964,1,89,11182,1341,12434
172,39,31671.862671098348,0.08165451186127388,1,911,8333,1376,8798
173,22,22662.454183220758,0.11354212263479303,1,329,5962,1443,7076
174,75,20683.538886094364,0.1399195301703427,1,306,7303,1451,8448
175,65,28573.02931762302,0.0005808467148168889,1,251,7031,1402,8182
176,22,21297.595612318695,0.13560163457876107,1,296,6759,1653,8116
177,22,30761.178310259926,0.17556649338793764,1,1144,6880,1573,7309
178,41,57844.82536872908,0.06670038839738951,1,1257,5440,1983,6166
179,21,42588.29016203232,0.28919937862859824,0,53,0,0,-53
180,75,33244.76127069922,0.0032051135617816888,0,14,0,0,-14
181,50,21365.96040147555,0.06668923014093192,1,1917,13820,1794,13697
182,42,25137.061070027128,0.004623624866327323,1,657,10798,1613,11754
183,59,37455.39452880007,0.08772261488145508,1,87,6065,1337,7315
184,18,22676.6767084507,0.16751427625833698,1,348,22895,2057,24604
185,25,21782.222415724278,0.04618604389195884,0,2,0,0,-2
186,71,21724.72324824559,0.02233303265107105,1,357,6054,1427,7124
187,23,20003.214553891237,0.3719918597508073,1,776,11212,3420,13856
188,53,24410.99705162328,0.2711876500225205,1,385,18848,2745,21208
189,71,31829.828762397672,0.0385717770853264,1,578,12557,1905,13884
190,44,21963.06259735609,0.10968603641713097,1,145,24748,1944,26547
191,34,24476.89573407984,0.08441995709424377,1,381,8650,1466,9735
192,45,40999.27820115665,0.24677144553458477,1,605,5810,2044,7249
193,70,20164.591157542123,0.16692527123950093,1,1420,7071,1511,7162
194,32,26681.758606641273,0.015057216308596029,1,948,5629,2723,7404
195,32,23629.500950052792,0.20995828938491895,0,57,0,0,-57
196,37,36534.28099685824,0.14250793441367823,1,978,11749,1646,12417
197,20,20222.812568649573,0.05627074091346613,1,616,10312,1371,11067
198,75,23509.227053397215,0.1570687765176113,1,484,5674,2318,7508
199,40,24479.912672557584,0.0866984333729449,1,58,6418,1337,7697
200,24,33135.515335514356,0.17381927704676609,1,220,5412,2317,7509
201,30,24771.20721537546,0.14294340101248895,1,1344,12924,2161,13741
202,23,22230.186479618194,0.1791184355630651,1,1030,7371,1961,8302
203,54,25211.093567904223,0.10214516656525047,1,141,6162,1582,7603
204,41,26991.704742878293,0.030575436396236208,1,754,5471,1382,6099
205,62,40662.67386083061,0.023551187863378564,1,498,10944,2378,12824
206,43,39815.350413108405,0.047362206197779866,1,295,16477,1433,17615
207,27,34425.182076512465,0.22311540220340287,0,86,0,0,-86
208,22,33615.18448733824,0.0021331828510474525,1,384,6016,1988,7620
209,28,24155.527441010203,0.20077528114473758,1,200,5523,1554,6877
210,23,44285.182727549174,0.03438388283295257,0,22,0,0,-22
211,23,41883.78670218622,0.06549242801708266,1,605,6227,1350,6972
212,54,27943.64431961064,0.2723886555636831,1,1254,10193,1502,10441
213,26,22927.903992527063,0.08811726433431188,0,153,0,0,-153
214,69,21069.66482389998,0.003043510546456653,1,186,7811,1583,9208
215,55,23903.631463402704,0.05485926087024639,0,40,0,0,-40
216,30,20435.042854731953,0.027777183919832624,1,715,43784,1383,44452
217,33,26393.492891583068,0.19777458834418732,1,1732,7127,3702,9097
218,40,24340.215811725673,0.09788422147396247,1,293,15367,1663,16737
219,25,24003.376122198355,0.06425526363652133,1,457,6379,1369,7291
220,70,21214.559728861015,0.25630704269147353,1,802,5695,1428,6321
221,19,27459.239868214023,0.06889758727947141,0,6,0,0,-6
222,40,21652.11313544048,0.06922182713721017,1,203,5809,1376,6982
223,18,65281.74947616706,0.1293422226296077,1,391,5842,3588,9039
224,21,23611.675529469794,0.019957376637821253,1,653,12976,1359,13682
225,33,41523.40167107137,0.003536867926258503,1,537,5263,1374,6100
226,26,21561.953224501674,0.017037570754712413,1,148,5607,1863,7322
227,21,21337.680841824505,0.3737761339295664,1,92,12621,1410,13939
228,33,22527.96603959935,0.22995977881693527,1,529,7600,1514,8585
229,62,20202.818676260868,0.10433735474147755,1,753,7606,2116,8969
230,70,29561.29802138748,0.03300415002813292,0,66,0,0,-66
231,29,40041.818544939284,0.05778105899611109,0,17,0,0,-17
232,26,22595.851565444547,0.13338632820658428,1,844,25920,1966,27042
233,55,21847.695103769373,0.0049556245039972455,1,183,6180,2984,8981
234,37,38660.035864417776,0.13428352933218396,1,319,29128,2524,31333
235,69,20640.918066604478,0.058929801149049874,0,34,0,0,-34
236,33,29285.638808359654,0.19319173711339846,0,41,0,0,-41
237,20,26015.449598621293,0.08882639037421974,0,46,0,0,-46
238,66,21964.610345062345,0.09906007690192689,1,95,5501,1376,6782
239,51,26144.163507600108,0.028918874983656015,1,57,10361,1965,12269
240,47,27551.257452904512,0.25964183566903043,0,16,0,0,-16
241,22,20836.329275239532,0.24848303837553573,0,103,0,0,-103
242,64,20769.08625760293,0.1747514356873815,0,35,0,0,-35
243,69,25042.076675481996,0.11956128125714285,1,548,8126,2330,9908
244,31,22427.950995870156,0.06303848444205963,0,6,0,0,-6
245,47,28049.65056728905,0.3994892243341557,1,177,5766,2108,7697
246,61,32398.269061924068,0.029982845154439292,1,74,7380,1357,8663
247,75,26504.72915878192,0.07326594640892746,0,271,0,0,-271
248,30,21289.7725076173,0.06092571256285822,1,262,16399,1428,17565
249,30,20294.833888903686,0.24150688575008963,0,3,0,0,-3
250,67,21852.586667828735,0.07214007729580325,1,958,5546,2139,6727
251,22,37731.97792725964,0.005373005941254584,1,1070,5325,2355,6610
252,36,38424.39059169423,0.012768522659143503,1,327,5364,1496,6533
253,30,26611.669384799214,0.1647505621962749,1,1705,14725,1963,14983
254,62,43743.365750265715,0.0467984585318368,1,457,5304,1555,6402
255,30,24134.031765194566,0.00038148682108804125,1,899,10185,2480,11766
256,72,21297.022946812987,0.036907406489135014,1,531,12762,1388,13619
257,32,26945.898722724745,0.16889522280841834,1,26,12452,2870,15296
258,31,20738.09371541491,0.017185058318131784,1,42,9076,1622,10656
259,43,38796.83466351577,0.30657120307866476,0,32,0,0,-32
260,53,20319.887406785878,0.08404689720408205,1,964,16192,1758,16986
261,22,22465.17249164246,0.29534894683631735,1,1014,23407,1356,23749
262,36,22084.448335036996,0.015285956264952882,0,168,0,0,-168
263,20,22181.8429726232,0.0326975255053195,1,559,5265,1547,6253
264,26,25351.468679586087,0.11521348703485648,0,18,0,0,-18
265,26,37729.52846473118,0.03694899374253129,1,1293,5370,3697,7774
266,20,22623.40654136244,0.05641729969603803,1,347,6288,1500,7441
267,22,56431.350128159116,0.25083166191886347,1,445,6225,1530,7310
268,27,30267.14868380559,0.04682588911273118,1,336,10578,2403,12645
269,39,22661.67375835709,0.08382498820466534,1,831,6332,1386,6887
270,58,24914.359172926153,0.005557775094362153,1,51,15359,2145,17453
271,21,22048.09901425462,0.09668586556854522,0,9,0,0,-9
272,57,55883.44626387836,0.023296777853968414,1,256,11239,3396,14379
273,20,33119.44296355553,0.04912190126276837,1,362,15679,3402,18719
274,52,27586.90056843347,0.6152938931221719,1,711,8258,1349,8896
275,28,23133.38701747503,0.3692994430079289,1,51,5648,1805,7402
276,65,20551.42030457134,0.02335796973748113,1,142,5971,6557,12386
277,35,30350.906518057713,0.058827776740227794,0,49,0,0,-49
278,21,31499.7942164833,0.07348458962207073,1,896,5895,2258,7257
279,23,30028.72156329238,0.16681939619638456,0,6,0,0,-6
280,45,20433.36762382318,0.00822966465407193,0,56,0,0,-56
281,18,32245.996894660202,0.08911464208620433,1,351,5704,2857,8210
282,20,51935.01795914073,0.009540375550533718,1,342,7797,3627,11082
283,19,36566.93042448266,0.02603283996913339,1,137,7470,2021,9354
284,54,22091.311955984907,0.5294226328827877,0,201,0,0,-201
285,26,20093.13160520501,0.06782280930427423,0,117,0,0,-117
286,28,53439.16790765346,0.1365098860253746,1,71,6018,1391,7338
287,33,81585.01631608602,0.009004307675946337,1,1154,6246,1358,6450
288,18,22942.593002123,0.25471064131911625,1,666,5358,1675,6367
289,36,25127.630722147904,0.0949235737874799,1,22,8187,2489,10654
290,28,21211.5019415328,0.15869326972673764,1,2463,5777,1594,4908
291,20,21862.359091854047,0.047252554529705004,1,72,5363,5754,11045
292,45,22799.089113548493,0.039251617354860754,1,182,6437,1768,8023
293,58,21983.027207984775,0.15476030536297147,1,665,7025,1355,7715
294,25,20139.428737470902,0.07987870636501523,1,569,22540,1614,23585
295,72,31544.71123294176,0.21011007885234045,0,456,0,0,-456
296,20,55975.36657082011,0.32304145065146916,1,208,9112,3217,12121
297,58,61177.29431983969,0.024764962332208516,0,19,0,0,-19
298,36,34134.59913132866,0.07688896682534098,1,460,5240,3237,8017
299,74,31447.538668837715,0.28318408254245114,1,395,11141,3120,13866
300,65,21408.451605517457,0.13793106407139213,0,54,0,0,-54
301,28,33325.7709388846,0.13566739821477233,1,1043,7334,1872,8163
302,19,23617.14536388386,0.0475776006907716,1,429,21282,2528,23381
303,52,20281.855412074317,0.3013173607769041,1,339,19710,1471,20842
304,39,25159.2013922811,0.026941979478696032,1,176,15848,1619,17291
305,20,20325.08361115908,0.10314697868328841,0,207,0,0,-207
306,22,24433.27529290008,0.009172096557944487,1,1256,6503,9531,14778
307,71,20522.561520124407,0.15334485149599023,1,432,7423,1661,8652
308,31,21391.21644798239,0.032918131244073605,0,37,0,0,-37
309,33,24387.038698189903,0.0063347477181003396,1,675,5963,1930,7218
310,33,21032.46546950869,0.21275766507784047,1,469,7837,1563,8931
311,39,26346.05524145743,0.033431597558342345,0,70,0,0,-70
312,31,29896.38568796616,0.006305927120547884,1,2282,6357,1373,5448
313,58,22023.1957894461,0.04899756584633814,1,444,7096,3531,10183
314,53,20851.76674343427,0.02452997449214025,0,28,0,0,-28
315,71,26831.908546628947,0.09421687577971195,0,25,0,0,-25
316,19,31215.493707395326,0.002906959125265499,1,249,6383,2388,8522
317,40,35901.71355711066,0.28091196742993213,0,29,0,0,-29
318,22,23707.248174997298,0.1619045847112061,1,96,5277,2536,7717
319,66,154004.09702987847,0.17212077131420228,1,1692,5376,2399,6083
320,29,29391.400460320307,0.08797627682171318,1,88,6058,1375,7345
321,42,35007.63338920435,0.2849813608959015,1,969,5726,1427,6184
322,35,20082.796057993633,0.02061587240072779,1,465,5267,1536,6338
323,36,30275.544229174557,0.0860215164383719,0,41,0,0,-41
324,21,21803.17865000018,0.24567061822022113,0,45,0,0,-45
325,29,25152.076944248754,0.02998043493958015,1,417,8635,1423,9641
326,43,20306.102049798064,0.03656781494845971,1,468,12640,2432,14604
327,51,27575.367942811612,0.07685898620916347,1,48,9351,1522,10825
328,62,27160.064840919582,0.1360430661934665,0,67,0,0,-67
329,59,27802.012622461512,0.07927530045323328,0,90,0,0,-90
330,27,38460.26696837276,0.16712071855727328,1,1091,7256,1540,7705
331,43,24418.42688176256,0.0806013540219991,1,831,10034,2028,11231
332,51,21346.369476002317,0.25389142662761466,0,27,0,0,-27
333,29,38272.10790115131,0.04760102765841468,1,1108,5239,2162,6293
334,43,41732.045391136395,0.04242093937228465,0,46,0,0,-46
335,49,23470.61862949749,0.045559396995521514,1,1168,5698,1477,6007
336,20,23611.780793267215,0.21739931209976016,1,346,10956,3021,13631
337,59,21111.872551672972,0.0015363576474170572,0,25,0,0,-25
338,54,29633.290297566095,0.036500883216620636,1,1852,6392,2610,7150
339,52,55050.203037307794,0.11359642692300909,1,420,6271,1767,7618
340,18,34516.06646784565,0.34101092839939157,0,7,0,0,-7
341,56,22809.073352070776,0.3031258965811175,0,29,0,0,-29
342,66,21787.284897974634,0.08966399145138217,1,521,5950,1752,7181
343,71,20977.236241820337,0.1818246821248026,1,141,6752,1807,8418
344,21,21621.585512819955,0.019965816819051196,0,99,0,0,-99
345,64,28936.88067591554,0.14908139609174614,1,1628,17431,1414,17217
346,21,21165.15995734615,0.3955267953645742,1,85,5281,2230,7426
347,20,24509.88113853247,0.0456491322295537,1,1469,8857,2768,10156
348,29,20717.268455245085,0.13831890181684234,1,552,8396,2048,9892
349,38,30431.467280715184,0.16776867726326378,0,40,0,0,-40
350,30,20311.891901237803,0.04140531831723489,1,438,8074,1636,9272
351,40,31904.066821063774,0.02805101244783781,1,297,8777,1886,10366
352,53,33220.640565447065,0.07730805967784374,1,178,15154,1566,16542
353,34,22648.60787563705,0.6149519852297033,0,34,0,0,-34
354,33,21152.456327884694,0.01715467415272745,1,185,5266,3931,9012
355,52,28378.070552360718,0.024412481906107713,1,394,8952,1615,10173
356,22,20667.368303797295,0.17537244453707196,1,498,11028,7682,18212
357,38,58875.02447608682,0.04046731480963961,0,24,0,0,-24
358,20,25923.865292263396,0.29159584137604605,0,26,0,0,-26
359,20,28823.901625572413,0.17958493241022017,1,588,8325,1364,9101
360,40,21637.013767707405,0.25877287135250404,1,325,5754,1534,6963
361,30,67248.23866012042,0.03167978059142071,1,140,10773,2096,12729
362,38,38604.8703719036,0.6747072871330004,0,130,0,0,-130
363,41,23865.417750690558,0.31778640858215784,1,1162,23392,1447,23677
364,54,21403.9040468119,0.18953014199980772,1,652,11053,1841,12242
365,59,36140.24920355326,0.0327729948389464,1,591,10682,3993,14084
366,19,27032.682286669155,0.023271699378770497,1,166,60153,2397,62384
367,47,22704.30615052004,0.10903787921316624,0,77,0,0,-77
368,43,20754.28062019269,0.13752996676889873,1,263,15431,1390,16558
369,21,21367.22235096603,0.03651932913644875,1,157,12145,1458,13446
370,22,34334.75649641836,0.017154316677041502,1,113,5383,4202,9472
371,31,21776.299415310612,0.07258430833152969,1,1385,25757,1488,25860
372,25,23957.129903632434,0.10249166477819081,1,223,6441,1612,7830
373,40,36873.98410285341,0.10875709268899268,1,273,12448,3831,16006
374,39,20406.537070759874,0.15444422411921827,0,3,0,0,-3
375,37,26185.976404298668,0.055915176904875144,0,11,0,0,-11
376,44,35058.61678793871,0.1396762727608915,1,85,8192,1580,9687
377,32,24231.379553224626,0.07242667047121835,1,92,5393,1346,6647
378,65,25635.192126601396,0.08185664476462477,1,427,9032,1656,10261
379,55,20871.219909296935,0.04783749914563137,1,290,6192,1723,7625
380,22,27402.56404098344,0.09825929064130022,0,11,0,0,-11
381,30,31279.190203411406,0.03315590602552258,1,162,5364,1446,6648
382,60,24732.127083564654,0.005686262262865278,1,494,9737,1979,11222
383,19,23161.698501715717,0.10085055758527119,1,692,10621,1633,11562
384,57,50707.114272739345,0.03531316258743179,1,318,5516,5316,10514
385,35,28652.95739661179,0.2614560724380483,1,1076,5472,1854,6250
386,18,28731.0720099756,0.02780094329372842,1,1061,16074,1427,16440
387,35,22103.517165842342,0.003326930103343101,1,571,6050,1469,6948
388,59,21750.522049983778,0.0542032299948912,1,1247,9972,1373,10098
389,67,29373.086295864785,0.21815371748511891,1,177,7515,2783,10121
390,24,63453.47580546572,0.08948867309825816,1,464,6084,1659,7279
391,69,24938.55750751247,0.12255413702733547,1,74,8671,3506,12103
392,41,20357.033870890926,0.011675572045295108,1,144,14973,1371,16200
393,46,20391.781090996436,0.14076927064766115,1,130,5800,1712,7382
394,70,20514.969066051846,0.06330892796357546,0,1,0,0,-1
395,23,23309.07688255756,0.022296520360766008,1,205,6666,1943,8404
396,60,33174.62006803468,0.17124017822007834,1,450,7011,1808,8369
397,44,21952.92619165551,0.1097146639285343,1,779,5743,1873,6837
398,19,21581.899829565198,0.15620787436303105,1,229,8100,1334,9205
399,22,21774.858765072448,0.08358997124642771,1,550,8670,1360,9480
400,20,56541.1304726241,0.07496025650074059,1,148,8712,1444,10008
401,32,21393.731460928964,0.25926147858037146,1,151,5259,1954,7062
402,24,27186.731359622332,0.1759516634440713,1,1038,62028,2212,63202
403,31,22814.745958592976,0.09113511522034741,1,1055,6845,1426,7216
404,64,25974.63851734467,0.009401099921698419,1,947,5725,1359,6137
405,66,32801.403539745115,0.01882730612773927,1,1088,5822,1862,6596
406,19,24364.535741459084,0.04773169554721239,1,359,108510,1947,110098
407,26,38008.51832968414,0.12884873927791793,0,94,0,0,-94
408,32,25372.78047912966,0.22699169428285496,0,34,0,0,-34
409,22,68157.77882008026,0.09976814281782385,1,39,5848,17328,23137
410,33,27682.719925393794,0.07361053277803606,0,46,0,0,-46
411,26,22796.90836506533,0.007579862706551063,1,851,8887,4240,12276
